1581860120.614116	0.001108	0.000001	0.000724	0.001108	0.000000	0.000000	0.000000	-0.006349	-0.104219	0.000000
1581860120.864506	0.001108	0.000001	0.000724	0.001108	0.000000	-0.009151	0.087042	-0.009770	-0.110340	0.000000
1581860121.114846	0.001630	0.000002	0.001690	0.000522	0.000000	-0.020926	0.085399	-0.029430	-0.106515	0.000000
1581860121.369520	0.000848	0.000002	0.000724	-0.000782	0.000000	-0.025495	0.090212	-0.029522	-0.102513	0.000000
1581860121.619960	0.001239	0.000003	0.001690	0.000391	0.000000	-0.028833	0.090389	-0.030375	-0.102537	0.000000
1581860121.875857	0.001239	0.000003	0.001690	0.000391	0.000000	-0.033580	0.090100	-0.036026	-0.104927	0.000000
1581860122.126272	0.001369	0.000003	0.001690	0.000130	-0.000000	-0.033745	0.089031	-0.033295	-0.103894	0.000000
1581860122.384648	0.001369	0.000003	0.001690	0.000000	-0.000000	-0.034534	0.090607	-0.035212	-0.102983	0.000000
1581860122.635855	0.001304	0.000003	0.001449	-0.000065	0.000000	-0.036775	0.092403	-0.035600	-0.103411	0.000000
1581860122.886174	0.001369	0.000003	0.001690	0.000065	0.000000	-0.035647	0.088032	-0.033485	-0.106503	0.000000
1581860123.149286	0.001369	0.000003	0.001690	0.000065	0.000000	-0.040050	0.085276	-0.031162	-0.107104	0.000000
1581860123.399681	0.002543	0.000004	0.001207	0.001173	-0.000000	-0.034843	0.079318	-0.008314	-0.146871	0.000000
1581860123.653122	0.003325	0.000006	0.001690	0.000782	0.000000	0.001969	0.077917	0.005321	-0.170962	0.000000
1581860123.906837	0.009975	0.000041	0.004105	0.006650	0.000008	0.066925	0.068813	0.005321	-0.170962	0.000000
1581860124.157254	0.009975	0.000041	0.004105	0.006650	0.000008	0.087284	0.061732	0.005321	-0.170962	0.000000
1581860124.407593	0.038854	0.000359	0.008693	0.028881	0.000066	0.061770	0.062542	-0.012662	-0.178490	0.000000
1581860124.658012	0.091726	0.000531	0.005071	0.052872	-0.000096	0.033771	0.067749	-0.063380	-0.121176	0.000000
1581860124.914530	0.144922	0.000993	0.007485	0.053198	0.000064	-0.012303	0.075387	-0.091618	-0.113849	0.000000
1581860125.165226	0.144922	0.000993	0.007485	0.053198	0.000064	-0.004414	0.076684	-0.106092	-0.102266	0.000000
